Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Nevada,505,18.7
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Nevada,387,18.7
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Vermont,124,18.7
2014,Alzheimer's disease (G30),Alzheimer's disease,Florida,5874,18.8
1999,Alzheimer's disease (G30),Alzheimer's disease,Georgia,1080,18.8
2001,Alzheimer's disease (G30),Alzheimer's disease,Michigan,1803,18.8
2001,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,251,18.8
2012,Diabetes mellitus (E10-E14),Diabetes,Alaska,107,18.8
2001,Diabetes mellitus (E10-E14),Diabetes,Colorado,667,18.8
2014,Diabetes mellitus (E10-E14),Diabetes,District of Columbia,119,18.8
2013,Diabetes mellitus (E10-E14),Diabetes,Minnesota,1163,18.8
2010,Diabetes mellitus (E10-E14),Diabetes,Virginia,1530,18.8
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,1031,18.8
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,898,18.8
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Delaware,162,18.8
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Kansas,647,18.8
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,New York,4404,18.8
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Washington,1086,18.8
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Arkansas,562,18.8
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,South Carolina,893,18.8
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Idaho,290,18.8
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Montana,175,18.8
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,New Mexico,356,18.8
2013,Alzheimer's disease (G30),Alzheimer's disease,Alaska,72,18.9
2001,Alzheimer's disease (G30),Alzheimer's disease,Alaska,44,18.9
2003,Alzheimer's disease (G30),Alzheimer's disease,Florida,4316,18.9
1999,Alzheimer's disease (G30),Alzheimer's disease,Indiana,1106,18.9
2014,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,442,18.9
2012,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,3505,18.9
2011,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,318,18.9
2013,Diabetes mellitus (E10-E14),Diabetes,Rhode Island,258,18.9
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Hawaii,246,18.9
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Kansas,682,18.9
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Louisiana,851,18.9
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Michigan,1950,18.9
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,New Mexico,353,18.9
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,North Dakota,162,18.9
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Illinois,2402,18.9
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Indiana,1450,18.9
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Nevada,440,18.9
2015,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,966,19.0
2004,Alzheimer's disease (G30),Alzheimer's disease,Delaware,155,19.0
2002,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,107,19.0
2014,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1688,19.0
2002,Alzheimer's disease (G30),Alzheimer's disease,Missouri,1187,19.0
2005,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1815,19.0
2008,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,366,19.0
2001,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,682,19.0
2001,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,398,19.0
2006,Diabetes mellitus (E10-E14),Diabetes,Connecticut,782,19.0
2007,Diabetes mellitus (E10-E14),Diabetes,Hawaii,291,19.0
2013,Diabetes mellitus (E10-E14),Diabetes,Iowa,747,19.0
2012,Diabetes mellitus (E10-E14),Diabetes,Wisconsin,1289,19.0
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nevada,496,19.0
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Vermont,119,19.0
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,West Virginia,436,19.0
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Wisconsin,1165,19.0
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Illinois,2328,19.0
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kansas,594,19.0
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Nevada,446,19.0
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Virginia,1236,19.0
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Idaho,297,19.0
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,North Dakota,140,19.0
2011,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,3496,19.1
2009,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,303,19.1
2003,Diabetes mellitus (E10-E14),Diabetes,Colorado,708,19.1
2004,Diabetes mellitus (E10-E14),Diabetes,Connecticut,767,19.1
2013,Diabetes mellitus (E10-E14),Diabetes,Maryland,1249,19.1
2012,Diabetes mellitus (E10-E14),Diabetes,Minnesota,1165,19.1
2008,Diabetes mellitus (E10-E14),Diabetes,Minnesota,1087,19.1
2012,Diabetes mellitus (E10-E14),Diabetes,Montana,233,19.1
2010,Diabetes mellitus (E10-E14),Diabetes,Montana,227,19.1
2007,Diabetes mellitus (E10-E14),Diabetes,Rhode Island,248,19.1
2014,Diabetes mellitus (E10-E14),Diabetes,Wisconsin,1352,19.1
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Kentucky,919,19.1
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,North Carolina,1737,19.1
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Ohio,2330,19.1
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Pennsylvania,2957,19.1
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Indiana,1149,19.1
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Massachusetts,1410,19.1
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Missouri,1274,19.1
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,North Carolina,1723,19.1
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,North Carolina,1661,19.1
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,West Virginia,445,19.1
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Arkansas,577,19.1
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Oklahoma,736,19.1
2015,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,129,19.2
2014,Alzheimer's disease (G30),Alzheimer's disease,Montana,253,19.2
2000,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,1024,19.2
2002,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,405,19.2
2008,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,293,19.2
1999,Diabetes mellitus (E10-E14),Diabetes,Colorado,639,19.2
2010,Diabetes mellitus (E10-E14),Diabetes,Delaware,196,19.2
2014,Diabetes mellitus (E10-E14),Diabetes,Florida,5371,19.2
2013,Diabetes mellitus (E10-E14),Diabetes,Florida,5238,19.2
2012,Diabetes mellitus (E10-E14),Diabetes,Florida,5092,19.2
2015,Diabetes mellitus (E10-E14),Diabetes,Illinois,2817,19.2
2012,Diabetes mellitus (E10-E14),Diabetes,Illinois,2706,19.2
2014,Diabetes mellitus (E10-E14),Diabetes,Kansas,643,19.2
2012,Diabetes mellitus (E10-E14),Diabetes,Maryland,1218,19.2
2016,Diabetes mellitus (E10-E14),Diabetes,Minnesota,1265,19.2
2014,Diabetes mellitus (E10-E14),Diabetes,Montana,250,19.2
2004,Diabetes mellitus (E10-E14),Diabetes,New York,3913,19.2
2009,Diabetes mellitus (E10-E14),Diabetes,Vermont,143,19.2
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,1035,19.2
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,952,19.2
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,California,6560,19.2
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Georgia,1500,19.2
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Michigan,1957,19.2
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Mississippi,567,19.2
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nevada,408,19.2
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Pennsylvania,3068,19.2
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Pennsylvania,3010,19.2
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,South Carolina,771,19.2
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Utah,343,19.2
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Arkansas,672,19.2
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Georgia,1881,19.2
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Missouri,1305,19.2
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Nevada,298,19.2
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,North Carolina,1828,19.2
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Pennsylvania,3138,19.2
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Idaho,308,19.2
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,New Mexico,349,19.2
2006,Alzheimer's disease (G30),Alzheimer's disease,Florida,4689,19.3
2002,Alzheimer's disease (G30),Alzheimer's disease,Illinois,2398,19.3
1999,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,728,19.3
2006,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,348,19.3
2004,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,328,19.3
2001,Alzheimer's disease (G30),Alzheimer's disease,United States,53852,19.3
2010,Alzheimer's disease (G30),Alzheimer's disease,Utah,375,19.3
2016,Diabetes mellitus (E10-E14),Diabetes,Alaska,124,19.3
2005,Diabetes mellitus (E10-E14),Diabetes,Colorado,753,19.3
2010,Diabetes mellitus (E10-E14),Diabetes,Iowa,733,19.3
2014,Diabetes mellitus (E10-E14),Diabetes,New Jersey,2062,19.3
2012,Diabetes mellitus (E10-E14),Diabetes,New Jersey,1988,19.3
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Colorado,650,19.3
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Illinois,2550,19.3
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Iowa,770,19.3
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Kentucky,967,19.3
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Rhode Island,260,19.3
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,1057,19.3
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Illinois,2612,19.3
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kentucky,756,19.3
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Pennsylvania,3084,19.3
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Pennsylvania,2944,19.3
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,West Virginia,481,19.3
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Montana,175,19.3
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Nevada,486,19.3
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,West Virginia,362,19.3
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Wyoming,101,19.3
2005,Alzheimer's disease (G30),Alzheimer's disease,Florida,4608,19.4
2013,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1699,19.4
2013,Alzheimer's disease (G30),Alzheimer's disease,Utah,412,19.4
2014,Diabetes mellitus (E10-E14),Diabetes,Alaska,113,19.4
2013,Diabetes mellitus (E10-E14),Diabetes,Delaware,218,19.4
2011,Diabetes mellitus (E10-E14),Diabetes,Illinois,2693,19.4
2014,Diabetes mellitus (E10-E14),Diabetes,Missouri,1423,19.4
2009,Diabetes mellitus (E10-E14),Diabetes,Montana,228,19.4
2013,Diabetes mellitus (E10-E14),Diabetes,New Jersey,2043,19.4
2016,Diabetes mellitus (E10-E14),Diabetes,North Dakota,171,19.4
2015,Diabetes mellitus (E10-E14),Diabetes,Wisconsin,1382,19.4
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Georgia,1407,19.4
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Michigan,1941,19.4
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,193,19.4
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,New Hampshire,237,19.4
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,New Mexico,353,19.4
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,North Dakota,157,19.4
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Ohio,2416,19.4
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,1035,19.4
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Indiana,1367,19.4
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Montana,196,19.4
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Utah,502,19.4
2015,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,422,19.5
2002,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,264,19.5
2016,Diabetes mellitus (E10-E14),Diabetes,Florida,5782,19.5
2009,Diabetes mellitus (E10-E14),Diabetes,Hawaii,308,19.5
2004,Diabetes mellitus (E10-E14),Diabetes,Iowa,700,19.5
2001,Diabetes mellitus (E10-E14),Diabetes,New York,3844,19.5
2011,Diabetes mellitus (E10-E14),Diabetes,Virginia,1643,19.5
2009,Diabetes mellitus (E10-E14),Diabetes,Virginia,1560,19.5
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,1097,19.5
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,918,19.5
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alaska,51,19.5
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Indiana,1318,19.5
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Maryland,928,19.5
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Montana,213,19.5
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,New York,4702,19.5
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,North Dakota,172,19.5
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Oregon,695,19.5
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,South Carolina,699,19.5
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Utah,333,19.5
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Wyoming,109,19.5
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Illinois,2536,19.5
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Illinois,2502,19.5
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kentucky,968,19.5
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Nevada,471,19.5
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,North Carolina,1892,19.5
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Pennsylvania,3013,19.5
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,South Carolina,846,19.5
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Colorado,1093,19.5
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Montana,180,19.5
2011,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,120,19.6
2003,Alzheimer's disease (G30),Alzheimer's disease,Nevada,309,19.6
2006,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,3311,19.6
2009,Alzheimer's disease (G30),Alzheimer's disease,Utah,371,19.6
2010,Diabetes mellitus (E10-E14),Diabetes,Alaska,86,19.6
2006,Diabetes mellitus (E10-E14),Diabetes,Arizona,1206,19.6
2012,Diabetes mellitus (E10-E14),Diabetes,Kansas,639,19.6
2016,Diabetes mellitus (E10-E14),Diabetes,Maryland,1358,19.6
2007,Diabetes mellitus (E10-E14),Diabetes,Minnesota,1084,19.6
2012,Diabetes mellitus (E10-E14),Diabetes,Missouri,1377,19.6
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alaska,46,19.6
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Arizona,1166,19.6
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,District of Columbia,111,19.6
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Hawaii,229,19.6
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1289,19.6
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Rhode Island,268,19.6
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,West Virginia,473,19.6
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Illinois,2576,19.6
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Indiana,1293,19.6
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kansas,620,19.6
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kentucky,933,19.6
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Missouri,1483,19.6
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Missouri,1452,19.6
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,South Carolina,823,19.6
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Virginia,1400,19.6
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,West Virginia,479,19.6
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Nevada,573,19.6
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Massachusetts,1303,19.6
2005,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,112,19.7
2000,Alzheimer's disease (G30),Alzheimer's disease,Iowa,769,19.7
2000,Alzheimer's disease (G30),Alzheimer's disease,Ohio,2295,19.7
2013,Alzheimer's disease (G30),Alzheimer's disease,Virginia,1642,19.7
2010,Diabetes mellitus (E10-E14),Diabetes,California,7061,19.7
2001,Diabetes mellitus (E10-E14),Diabetes,Connecticut,759,19.7
2011,Diabetes mellitus (E10-E14),Diabetes,Florida,5093,19.7
2013,Diabetes mellitus (E10-E14),Diabetes,Illinois,2798,19.7
1999,Diabetes mellitus (E10-E14),Diabetes,Iowa,684,19.7
2015,Diabetes mellitus (E10-E14),Diabetes,Missouri,1468,19.7
2013,Diabetes mellitus (E10-E14),Diabetes,Montana,250,19.7
2005,Diabetes mellitus (E10-E14),Diabetes,New York,4051,19.7
2002,Diabetes mellitus (E10-E14),Diabetes,New York,3934,19.7
2006,Diabetes mellitus (E10-E14),Diabetes,Wisconsin,1212,19.7
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,California,6546,19.7
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Indiana,1184,19.7
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Massachusetts,1538,19.7
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Mississippi,554,19.7
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1330,19.7
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nevada,499,19.7
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Oklahoma,778,19.7
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,South Carolina,770,19.7
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,West Virginia,443,19.7
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kentucky,998,19.7
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Pennsylvania,3067,19.7
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Virginia,1521,19.7
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Virginia,1439,19.7
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,West Virginia,471,19.7
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Colorado,1052,19.7
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Montana,189,19.7
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Nevada,528,19.7
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Nevada,423,19.7
2013,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,130,19.8
2013,Alzheimer's disease (G30),Alzheimer's disease,Illinois,2919,19.8
2012,Alzheimer's disease (G30),Alzheimer's disease,Illinois,2865,19.8
2012,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1713,19.8
2006,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1560,19.8
2000,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1433,19.8
2015,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,2260,19.8
2011,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,423,19.8
2012,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,299,19.8
2001,Alzheimer's disease (G30),Alzheimer's disease,Virginia,1184,19.8
2005,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,287,19.8
2009,Diabetes mellitus (E10-E14),Diabetes,California,6979,19.8
2014,Diabetes mellitus (E10-E14),Diabetes,Delaware,226,19.8
2016,Diabetes mellitus (E10-E14),Diabetes,District of Columbia,127,19.8
2016,Diabetes mellitus (E10-E14),Diabetes,Idaho,375,19.8
2013,Diabetes mellitus (E10-E14),Diabetes,Kansas,654,19.8
2014,Diabetes mellitus (E10-E14),Diabetes,Maryland,1305,19.8
2000,Diabetes mellitus (E10-E14),Diabetes,Massachusetts,1361,19.8
2009,Diabetes mellitus (E10-E14),Diabetes,Missouri,1335,19.8
1999,Diabetes mellitus (E10-E14),Diabetes,New York,3799,19.8
2015,Diabetes mellitus (E10-E14),Diabetes,Vermont,159,19.8
2008,Diabetes mellitus (E10-E14),Diabetes,Virginia,1534,19.8
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Georgia,1498,19.8
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nevada,471,19.8
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,New Jersey,1823,19.8
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,North Dakota,166,19.8
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,South Dakota,188,19.8
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,West Virginia,455,19.8
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Arkansas,707,19.8
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Arkansas,674,19.8
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Delaware,189,19.8
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Pennsylvania,3108,19.8
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Nevada,547,19.8
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Nevada,480,19.8
2007,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,1179,19.9
2015,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,483,19.9
2002,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,325,19.9
2012,Alzheimer's disease (G30),Alzheimer's disease,Utah,411,19.9
2002,Alzheimer's disease (G30),Alzheimer's disease,Utah,303,19.9
2000,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,1177,19.9
1999,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,1170,19.9
2007,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,299,19.9
2011,Diabetes mellitus (E10-E14),Diabetes,Iowa,770,19.9
2010,Diabetes mellitus (E10-E14),Diabetes,Maryland,1191,19.9
1999,Diabetes mellitus (E10-E14),Diabetes,Massachusetts,1354,19.9
2009,Diabetes mellitus (E10-E14),Diabetes,New Jersey,1959,19.9
2014,Diabetes mellitus (E10-E14),Diabetes,North Dakota,176,19.9
2016,Diabetes mellitus (E10-E14),Diabetes,Wisconsin,1440,19.9
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Arkansas,647,19.9
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Idaho,239,19.9
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Illinois,2672,19.9
